,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
92,RT @PIBAgartala: NTPC needs to keep growing as the demand for energy in India also increasing at a rapid pace: Power Minister Shri RK Singh…,en,0,0,2021-11-16 14:34:47+00:00,0.0,0.0,Neutral
93,RT @MinOfPower: NTPC needs to keep growing as the demand for energy in India also increasing at a rapid pace: Power Minister Shri RK Singh…,en,0,0,2021-11-16 14:34:37+00:00,0.0,0.0,Neutral
94,"RT @NSEIndia: Congratulations NTPC Limited on completing 17 years of listing on NSE, a company built on the values of integrity, mutual res…",en,0,0,2021-11-16 14:34:12+00:00,0.14285714285714285,-0.07142857142857142,Negative
95,"RT @PBNS_India: Union Minister of Power and New &amp; Renewable Energy, @OfficeOfRKSingh lauds NTPC's contribution; states it needs to keep gro…",en,0,0,2021-11-16 14:34:02+00:00,0.45454545454545453,0.13636363636363635,Positive
96,"RT @Powerline_Mag: ""Getting Real with Hydrogen""
A special guest article for the 25th anniversary issue of Power Line Magazine, by Gurdeep S…",en,0,0,2021-11-16 14:33:57+00:00,0.4357142857142857,0.2785714285714286,Positive
97,"RT @ntpclimited: At this school in NTPC Vindhyachal
the students are #ambidextrous, (can write with both hands) an #art acquired with #prac…",en,0,0,2021-11-16 14:33:53+00:00,0.0,0.0,Neutral
98,RT @ntpclimited: NTPC in collaboration with @IndianOilcl to expand footprint in Renewable Energy &amp; mutually explore opportunities for the s…,en,0,0,2021-11-16 14:33:27+00:00,0.0,0.0,Neutral
99,"RT @ntpclimited: NVVN Ltd, a wholly-owned subsidiary of NTPC Ltd to set up solid waste management plant in Ramana, Varanasi to turn segrega…",en,0,0,2021-11-16 14:33:22+00:00,0.05,-0.1,Negative
0,RT @deepakk48905178: #railway_groupd_examdate do ntpc cbt1 result  @narendramodi @ANI @AshwiniVaishnaw  @RailMinIndia @gmscrailway,en,0,0,2021-11-17 20:00:58+00:00,0.0,0.0,Neutral
1,#NTPC - NTPC TREND REVERSAL TO BULLISH - TradingView - https://t.co/7OYOUHiUn0,en,0,0,2021-11-17 19:50:02+00:00,0.0,0.0,Neutral
4,"RT @SumitResearch: Tomorrow is #historical day

#PayTmIPO #listing

Approx Mcap at Flat listing would be 1.40 Lk Cr 

At This Mcap it would…",en,0,0,2021-11-17 19:03:44+00:00,0.0625,-0.0125,Negative
5,Indian Oil and NTPC ink deal to collaborate on green energy https://t.co/93b1z7VeDw,en,0,0,2021-11-17 19:00:43+00:00,0.3,-0.2,Negative
6,"RT @srivatsayb: Nehru built AIIMS
Nehru built IIMs
Nehru built IITs/NITs
Nehru built SAIL/BEL/BHEL
Nehru built LIC/ONGC/NTPC
Nehru built DR…",en,0,0,2021-11-17 18:56:24+00:00,0.0,0.0,Neutral
8,"RT @srivatsayb: Nehru built AIIMS
Nehru built IIMs
Nehru built IITs/NITs
Nehru built SAIL/BEL/BHEL
Nehru built LIC/ONGC/NTPC
Nehru built DR…",en,0,0,2021-11-17 18:54:30+00:00,0.0,0.0,Neutral
9,"RT @ashishnahata: @hvgoenka NTPC profit ₹15319 cr, DE ratio 1.6, Dividend yield 4.58, Market Cap 1.30 lac cr.
In the same sector Adani Gree…",en,0,0,2021-11-17 18:45:30+00:00,0.125,0.0,Neutral
10,"Tomorrow is #historical day

#PayTmIPO #listing

Approx Mcap at Flat listing would be 1.40 Lk Cr 

At This Mcap it… https://t.co/1xvx3hBtRD",en,0,0,2021-11-17 18:41:12+00:00,0.0625,-0.0125,Negative
11,"RT @MaheshS68098887: 1) RRB NTPC CBT1 RESULT
2) RRB GROUP D EXAM DATE
3) UPSC IRMS VACANCY
#RRBNTPC
#RRB_GROUPD_EXAMDATE
#conduct_irms #IRM…",en,0,0,2021-11-17 18:37:39+00:00,0.0,0.0,Neutral
12,"RT @MaheshS68098887: 1) RRB NTPC CBT1 RESULT
2) RRB GROUP D EXAM DATE
3) UPSC IRMS VACANCY
#RRBNTPC
#RRB_GROUPD_EXAMDATE
#conduct_irms #IRM…",en,0,0,2021-11-17 18:37:11+00:00,0.0,0.0,Neutral
