,tweet,language,likes,retweets,Subjectivity,Polarity,Analysis
79,_infosys フォローありがとうございます！こちら情シスに関する有益なことはつぶやかないドルオタゴリラのアカウントとなっていますが大丈夫でしょうか⁉️,ja,1,0,0.0,0.0,Neutral
80,": आपका Favourite Stock कौन सा है?
.
.
.
.
stockmarket stockmarketindia stocks investment infosys tata reliance s…",und,0,0,0.0,0.0,Neutral
81,"2) Infosys

• Employees - 2,59,169
• Revenue - $13.561 Billion",fr,1,0,0.0,0.0,Neutral
82,Finacle: Benchmark your innovation strategy with new businessmodel archetypes &amp; global success stories. Download… ,en,0,0,0.15151515151515152,0.14545454545454545,Positive
83, Not as good as you would think. Sampras was slightly better. No one has ever been above 50%. ,en,1,0,0.4000000000000001,0.39999999999999997,Positive
84,Finacle: Benchmark your innovation strategy with new businessmodel archetypes &amp; global success stories. Download… ,en,0,0,0.15151515151515152,0.14545454545454545,Positive
85,_GSTN   no digital signature on my clients' gst reg cert which was obtained in march… ,en,0,0,0.0,0.0,Neutral
86,   Sir How did u resolved “invalid Json” error it would be of great help,en,0,0,0.75,0.8,Positive
87,"be mandatory. Bank details shown twice in return but as validation failed in login. Tax Paid Sch. is Prefilled, ask… ",en,0,0,0.3,-0.5,Negative
88,": Till now there is no clear picture for restoring number canceled in 2017,18 and 2019. For writ petition in high Court…",en,0,0,0.4616666666666666,0.05499999999999999,Positive
89,"_in   _GoI _Council _GSTN 

Last I checked GST rate on F&amp;B was 5 p… ",en,0,0,0.06666666666666667,0.0,Neutral
90,": SCN by GST Department

   _india   _GST…",de,0,0,0.0,0.0,Neutral
91,": Till now there is no clear picture for restoring number canceled in 2017,18 and 2019. For writ petition in high Court…",en,0,0,0.4616666666666666,0.05499999999999999,Positive
92,     _india  … ,und,0,0,0.0,0.0,Neutral
93,Benchmark your innovation strategy with new businessmodel archetypes &amp; global success stories. Download the Infos… ,en,0,0,0.15151515151515152,0.14545454545454545,Positive
94,"  Dear ,

Thank you for sharing your grievance acknowledgement number. We hav… ",en,0,0,0.0,0.0,Neutral
95,"   I wish I would have remained in touch with my friends from  tech team,2013",en,3,1,0.0,0.0,Neutral
96,": We were facing ""Invalid JSON"" error while uploading FORM 3CB-3CD. Now facing different one ""Invalid Metadata"". Not sure by…",en,0,0,0.7444444444444445,-0.125,Negative
97,"     Dear ,

May we request you to write… ",en,0,0,0.0,0.0,Neutral
98,"@_DipikaR: Twitter: 👋 from Strasbourg. 
Did Rishi Sunak ex-Goldman Sachs son-in-law; Infosys/ Trustee @ corrupt UnitedNations Foundatio…",en,0,0,1.0,-0.5,Negative
