,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
50,RT @karantandon23: @TataMotors been trying to get a test drive of safari for a long time in Pune. Some assistance needed,en,0,0,2021-11-11 07:21:48+00:00,0.4,-0.05,Negative
51,"RT @abhishekdragon: @TataMotors_Cars @TataMotors @TataMotors_Cars @RNTata2000 #NPS #RatanTata #Tatamotors @TataCompanies
Shared....anticipa…",en,0,0,2021-11-11 07:21:31+00:00,0.0,0.0,Neutral
52,"RT @abhishekdragon: @TataMotors @TataMotors_Cars @RNTata2000
worst customer service and handling by Shree Vasu, Delhi Road, Meerut, UP. 
Af…",en,0,0,2021-11-11 07:21:26+00:00,1.0,-1.0,Negative
53,"Whilst @TataMotors &amp; @Mahindra_Auto are producing 5 🌟 rated cars, 
@Maruti_Corp still bets on mileage sentiment of… https://t.co/eev6wfATIy",en,0,0,2021-11-11 07:21:13+00:00,0.0,0.0,Neutral
55,@autocarindiamag @ShapurK Great pricing by @TataMotors for Tiago. Solid car with 4 star rating.,en,1,0,2021-11-11 07:18:52+00:00,0.425,0.4,Positive
56,"@TataMotors_Cars @TataMotors @TataMotors_Cars @RNTata2000 #NPS #RatanTata #Tatamotors @TataCompanies
Shared....anti… https://t.co/4PgE0jbOSr",en,1,1,2021-11-11 07:17:28+00:00,0.0,0.0,Neutral
57,@TataMotors_Cars my nexon xza+ issues have not been resolved even after first service. There is consistent noise fr… https://t.co/mVpeMhGCiE,en,0,0,2021-11-11 07:13:57+00:00,0.29166666666666663,0.25,Positive
58,"RT @vidyadee: Dear Carmakers: I am a #woman and Yes I buy cars too! So when I walk into your showroom, don’t ignore me! (Yesterday’s experi…",en,0,0,2021-11-11 07:13:19+00:00,0.0,0.0,Neutral
59,"RT @Trinkerr_IN: ⚡️#RakeshJhunjhunwala hit gold while investing in these stocks!🪙

🚀How many of these do you own?

#Tatamotors 
#Aptech
#SA…",en,0,0,2021-11-11 07:12:16+00:00,0.75,0.55,Positive
60,@TataMotors been trying to get a test drive of safari for a long time in Pune. Some assistance needed,en,1,1,2021-11-11 07:12:01+00:00,0.4,-0.05,Negative
61,"RT @Priyans97769196: @TataMotors hello,
I wanna know that is logistic/handling charge legal ? If “NO” then why your dealer (SHREE VASU AUTO…",en,0,0,2021-11-11 07:10:12+00:00,0.2,0.2,Positive
62,@TataMotors i got my nexon xza + first servicing done. There is constant noise from boot and front dashboard. I com… https://t.co/B3fLAZvIcY,en,0,0,2021-11-11 07:09:18+00:00,0.3333333333333333,0.125,Positive
63,"RT @GajendraSvll: #Tatamotors 
Sir we have purchase one Prolite Engine from Balaji Service Indore  on dated 31.10.21  but on dated 07.11.21…",en,0,0,2021-11-11 07:08:53+00:00,0.0,0.0,Neutral
64,"⚡️#RakeshJhunjhunwala hit gold while investing in these stocks!🪙

🚀How many of these do you own?

#Tatamotors… https://t.co/MCcEDijo26",en,5,1,2021-11-11 07:08:00+00:00,0.75,0.55,Positive
65,"Tata Steel Ltd Q2 Results Preview: PAT expected to rise sevenfold from year ago
https://t.co/alaBRr24bY
#tatasteel… https://t.co/RJCwgOdAuv",en,0,0,2021-11-11 07:05:36+00:00,0.4,-0.1,Negative
66,"#Tatamotors 
Sir we have purchase one Prolite Engine from Balaji Service Indore  on dated 31.10.21  but on dated 07… https://t.co/FkX4gjT0av",en,0,2,2021-11-11 07:03:31+00:00,0.0,0.0,Neutral
67,"@TataMotors @TataMotors_Cars @RNTata2000
worst customer service and handling by Shree Vasu, Delhi Road, Meerut, UP.… https://t.co/olwBQP66g7",en,1,1,2021-11-11 07:02:48+00:00,1.0,-1.0,Negative
68,RT @raajleo: Aren’t we proud of OUR INDIAN Brands ??All the @TataMotors_Cars make it 4 Star at least @MahindraRise doing well too @Maruti_C…,en,0,0,2021-11-11 06:58:27+00:00,0.7,0.25,Positive
69,RT @rpapthimar: I think @TataMotors is not planning to sell cars… their sales guys find all the reasons to avoid customers.. not a way to t…,en,0,0,2021-11-11 06:54:49+00:00,0.0,0.0,Neutral
70,"@TataMotors @RNTata2000 Heart breaking to see my 15 days punch overheating,attended by dealer person and it is out… https://t.co/4mDwxu9EzX",en,0,0,2021-11-11 06:54:21+00:00,0.0,0.0,Neutral
71,"October 2021 Sales of Tata Motors Passenger Vehicles Increase by 44% 😮. Read now in detail. 👇
@TataMotors 
.… https://t.co/oScHQgVUnj",en,0,0,2021-11-11 06:51:36+00:00,0.0,0.0,Neutral
72,"Proud to see Mahindra &amp; Tata, both Indian OEMs paying great attention towards occupant safety and producing the saf… https://t.co/ylzb7BIa0p",en,0,0,2021-11-11 06:50:46+00:00,0.875,0.8,Positive
73,RT @SRIRAMOJUH: This is the issue &amp; @TataMotors_Cars are cheating the customers with their fault vehicle delivery. Tata vehicle service sec…,en,0,0,2021-11-11 06:48:57+00:00,0.0,0.0,Neutral
74,"RT @Ankit_goyal02: @TataMotors after hearing about the gud built quality of tata cars, i bought Tata altroz and not even 1 month is done wh…",en,0,0,2021-11-11 06:48:29+00:00,0.0,0.0,Neutral
75,RT @BrandStoryboard: Auto brands are mainstreaming EVs in marketing communications. Here’s what some of the big brands are up to &amp; up again…,en,0,0,2021-11-11 06:38:40+00:00,0.1,0.0,Neutral
76,@L3vE7 @rohitds555 @HyundaiIndia @TataMotors This happens with Tata a lot,en,0,0,2021-11-11 06:27:09+00:00,0.0,0.0,Neutral
77,@Hevu18 @TataCompanies @TataMotors @RNTata2000 @Kia_Worldwide @tatamotars Go for #KIA myaan,en,0,0,2021-11-11 06:27:00+00:00,0.0,0.0,Neutral
78,@TataMotors_Cars Poor quality of service and support,en,0,0,2021-11-11 06:26:48+00:00,0.6,-0.4,Negative
80,I think @TataMotors is not planning to sell cars… their sales guys find all the reasons to avoid customers.. not a… https://t.co/I6XRmGnrDG,en,0,1,2021-11-11 06:25:13+00:00,0.0,0.0,Neutral
81,"RT @TataMotors_Cars: Tuned for thrills, the #AboveAll Harrier is fit for all filters which makes it more desirable.

To know more: https://…",en,0,0,2021-11-11 06:23:57+00:00,0.4666666666666666,0.4666666666666666,Positive
82,@SRIRAMOJUH @TataCompanies @TataMotors @RNTata2000 Hello brother I was stuck in buying a car between two companies… https://t.co/Ct5OKtZpye,en,0,0,2021-11-11 06:23:46+00:00,0.0,0.0,Neutral
83,@TataMotors_Cars @TataMotors @TataCompanies Horrible horrible horrible experience at today at service center with m… https://t.co/IIO84z1zjK,en,0,0,2021-11-11 06:23:44+00:00,0.775,-0.775,Negative
84,@BandBajaateRaho @SERGIOMATTAREL4 @BorisJohnson @Tanmay26793784 @POTUS @PresidentofNP @POTUS45 @PMOIndia @BBCNews… https://t.co/HeLoub9UfR,en,0,0,2021-11-11 06:22:44+00:00,0.0,0.0,Neutral
85,@Tatamotorsev Cancelled my booking after 100 days of waiting as I don't wish to be part of this scam. My sincere ad… https://t.co/01x6sa4gYm,en,0,0,2021-11-11 06:22:35+00:00,0.5,0.5,Positive
87,@TataMotors leads in creating consumer perception on safety and security features in their vehicles find Mobility O… https://t.co/VRDjEKOeug,en,0,0,2021-11-11 06:18:00+00:00,0.0,0.0,Neutral
89,"LOW -- 505.50💰💰
LOW -- 505.50💰💰
LOW -- 505.50💰💰

#Tatamotors 

Safe Traders can book rest trailing sl ✅ https://t.co/KWoreRZrt9",en,1,0,2021-11-11 06:17:27+00:00,0.35,0.125,Positive
90,@TataMotors I took my Nexon to Service centre in Varanasi. Told them multiple issues. Car was returned without doin… https://t.co/cbwdmc08Zg,en,0,0,2021-11-11 06:15:39+00:00,0.0,0.0,Neutral
92,@TataMotors_Cars @TataMotors you don't want your customers to have bad experience . I have shared my details as req… https://t.co/gIPohK4umu,en,0,0,2021-11-11 06:13:36+00:00,0.6666666666666666,-0.6999999999999998,Negative
93,RT @SRIRAMOJUH: This is the issue &amp; @TataMotors_Cars are cheating the customers with their fault vehicle delivery. Tata vehicle service sec…,en,0,0,2021-11-11 06:11:56+00:00,0.0,0.0,Neutral
94,RT @SRIRAMOJUH: This is the issue &amp; @TataMotors_Cars are cheating the customers with their fault vehicle delivery. Tata vehicle service sec…,en,0,0,2021-11-11 06:11:23+00:00,0.0,0.0,Neutral
95,#Tatamotors is planning to expand its EV portfolio by offering India specific products with different body styles a… https://t.co/uBoCINxrp2,en,2,0,2021-11-11 06:08:44+00:00,0.3625,0.0,Neutral
96,"RT @vidyadee: Dear Carmakers: I am a #woman and Yes I buy cars too! So when I walk into your showroom, don’t ignore me! (Yesterday’s experi…",en,0,0,2021-11-11 06:06:35+00:00,0.0,0.0,Neutral
97,"RT @BunnyPunia: A press release to be PROUD of :-) 

Congratulations to the entire @Mahindra_Auto team for this feat. M&amp;M, along with @Tata…",en,0,0,2021-11-11 06:06:03+00:00,0.875,0.43333333333333335,Positive
99,Possibly the most successful vehicle launched in 2021 is Tata Punch. It managed to secure a place in the top 10 bes… https://t.co/Be47GOz0vH,en,0,0,2021-11-11 06:04:46+00:00,0.7100000000000001,0.43,Positive
Nothing really big changes in Tata Steel Q1 &amp; Q2 reports but there was a big difference between last year quaters a… https://t.co/nBBREzJ9l1,en,0,0,2021-11-14 21:00:33+00:00,0.08888888888888889,0.0,Neutral
