,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
42,75,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:34:04+00:00,0.75,0.5,Positive,2021-11-16 15:34:04+00:00,2021-11-16
43,76,@HULPureit @HUL_News It's a basic secondary cartridge. Already replaced 2 and this is the result,en,0,0,2021-11-16 15:31:28+00:00,0.2125,-0.15,Negative,2021-11-16 15:31:28+00:00,2021-11-16
44,77,@HULPureit @HUL_News This is your Team's achievement for effort of last 3 days. https://t.co/Ep5HTurJuD,en,0,0,2021-11-16 15:30:10+00:00,0.0666666666666666,0.0,Neutral,2021-11-16 15:30:10+00:00,2021-11-16
45,78,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:30:00+00:00,0.75,0.5,Positive,2021-11-16 15:30:00+00:00,2021-11-16
46,79,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:28:34+00:00,0.75,0.5,Positive,2021-11-16 15:28:34+00:00,2021-11-16
47,80,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:27:18+00:00,0.75,0.5,Positive,2021-11-16 15:27:18+00:00,2021-11-16
48,81,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:21:17+00:00,0.75,0.5,Positive,2021-11-16 15:21:17+00:00,2021-11-16
49,82,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:18:47+00:00,0.75,0.5,Positive,2021-11-16 15:18:47+00:00,2021-11-16
50,83,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:17:25+00:00,0.75,0.5,Positive,2021-11-16 15:17:25+00:00,2021-11-16
51,84,"RT @Tijori1: Tata Steel has beaten HUL in price appreciation over the last 20 years

20 year absolute growth

Tata Steel +1686%
HUL   +1352%",en,0,0,2021-11-16 15:16:59+00:00,0.4833333333333333,0.1,Positive,2021-11-16 15:16:59+00:00,2021-11-16
52,85,RT @MissionAmbedkar: Offering our heartfelt salutations to the iconic tribal leader Dharti Aba Birsa Munda on his birth anniversary. Your f…,en,0,0,2021-11-16 15:16:26+00:00,0.75,0.25,Positive,2021-11-16 15:16:26+00:00,2021-11-16
53,87,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:15:01+00:00,0.75,0.5,Positive,2021-11-16 15:15:01+00:00,2021-11-16
54,89,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:14:23+00:00,0.75,0.5,Positive,2021-11-16 15:14:23+00:00,2021-11-16
55,94,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:01:30+00:00,0.75,0.5,Positive,2021-11-16 15:01:30+00:00,2021-11-16
56,95,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:01:01+00:00,0.75,0.5,Positive,2021-11-16 15:01:01+00:00,2021-11-16
57,97,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 14:56:27+00:00,0.75,0.5,Positive,2021-11-16 14:56:27+00:00,2021-11-16
